image,text
data/raw/other/0.png,پشاور،بنوں (نمائندہ جنگ،اے ایف پی) بنوں میں اقوام میراخیل اور
data/raw/other/1.png,اسکے ساتھ ملحقہ علاقے کے عوام نے بجلی و گیس
data/raw/other/2.png,کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ پولیس تشدد سے ایک نوجوان
data/raw/other/3.png,منشور علی جاں بحق اور 2خواتین سمیت 14 افرادزخمی ہوگئے۔
data/raw/other/4.png,علاقے میں کرفیو نافذ کردیا گیا ہے۔ مکینوں نے الزام
data/raw/other/5.png,لگایا کہ پولیس کی فائرنگ سے شہری ہلاک ہوا جبکہ
data/raw/other/6.png,پولیس کا کہنا ہے کہ مظاہرین میں کسی نے ہم
data/raw/other/7.png,پر براہ راست فائرنگ کی اور فائرنگ کے تبادلے کے
data/raw/other/8.png,نتیجے میں ایک شہری ہلاک ہوگیا۔ تفصیلات کے مطابق بنوں
data/raw/other/9.png,میں اقوام میراخیل اور اسکے ساتھ ملحقہ علاقے کے عوام
data/raw/other/10.png,نے بجلی وگیس کی لوڈشیڈنگ کیخلاف مظاہرہ کیا۔ مظاہرین نے
data/raw/other/11.png,مظاہرہ کے دورا ن بنوں ڈیرہ روڈ بلاک کردی اورسڑک
data/raw/other/12.png,خالی کرنے سے انکار کردیا، مظاہرین کو روڈ سے ہٹانے
data/raw/other/13.png,کیلئے پولیس نے مظاہرین پر لاٹھی چارج اور فائرنگ کی
data/raw/other/14.png,جس سے ایک نوجوان منشور علی جاں بحق اور 2
data/raw/other/15.png,خواتین سمیت 14 افراد زخمی ہوئے۔ زخمیوں کو قریبی اسپتال
data/raw/other/16.png,منتقل کردیا گیا۔ ۔بنوں اور ڈیرہ اسماعیل خان ضلع کو
data/raw/other/17.png,ملانے والی مرکزی شاہراہ پر کرفیو نافذ کردیا گیا ہے۔بنوں
data/raw/other/18.png,میں تشدد اس وقت شروع ہوا جب 500کے لگ بھگ
data/raw/other/19.png,مظاہرین نے مصروف شاہراہ بلاک کردی اور خالی کرنے سے
data/raw/other/20.png,انکار کردیا۔مظاہرین نے شاہراہ کو 3گھنٹے تک بلاک رکھا۔پولیس کا
data/raw/other/21.png,کہنا ہے کہ ایک شخص فائرنگ کے تبادلے کے نتیجے
data/raw/other/22.png,میں جاں بحق ہوا جبکہ مکینوں کا الزام ہے کہ
data/raw/other/23.png,مظاہرین میں سے ایک شخص پولیس کی فائرنگ سے ہلاک
data/raw/other/24.png,ہوا ہے۔بنوں کے ایک پولیس افسر نے اے ایف پی
data/raw/other/25.png,کو بتایاکہ پولیس نے مظاہرین کو منتشر کرنے کیلئے لاٹھی
data/raw/other/26.png,چارج اور آنسو گیس کے شیل فائر کئے جس کے
data/raw/other/27.png,جواب میں مظاہرین نے پولیس پر پتھراؤ شروع کردیا۔بنوں کے
data/raw/other/28.png,ایک اور پولیس افسر نے بتایا کہ فائرنگ پہلے مظاہرین
data/raw/other/29.png,میں سے کسی نے پولیس پر براہ راست کی۔ انہوں
data/raw/other/30.png,نے کہا کہ پولیس نے مظاہرین کو منتشر کرنے کیلئے
data/raw/other/31.png,ہوائی فائرنگ کی ۔انہوں نے کہا کہ مظاہرین نے بجلی
data/raw/other/32.png,کے گرڈ اسٹیشن پر حملہ کیا۔
data/raw/other/33.png,کراچی ( اسٹاف رپورٹر ) متحدہ قومی موومنٹ کے قائد
data/raw/other/34.png,الطاف حسین نے واضح اوردوٹوک الفاظ میں کہاہے کہ کوئی
data/raw/other/35.png,بھی مسلمان اللہ تعالیٰ کے محبوب اور نبی آخرالزماں حضرت
data/raw/other/36.png,محمدمصطفےٰ ﷺکی شان میں گستاخی کرنا تو کجا اس کا
data/raw/other/37.png,تصور بھی نہیں کرسکتا، حتیٰ کہ پاکستان میں رہنے والی
data/raw/other/38.png,اقلیتیں بھی سرکاردوعالم ﷺکی شان میں گستاخی نہیں کرسکتیں لہٰذا
data/raw/other/39.png,میں تمام مسالک سے تعلق رکھنے والے مذہبی رہنماوٴں سے
data/raw/other/40.png,درخواست کرتاہوں کہ وہ وزیراعظم یوسف رضاگیلانی کی اس واضح
data/raw/other/41.png,یقین دہانی کے بعدکہ ناموس رسالت ﷺ کے قانون میں
data/raw/other/42.png,کسی بھی قسم کی ترمیم یاتبدیلی نہیں کی جارہی ہے،
data/raw/other/43.png,اپنے مظاہروں کاسلسلہ ختم کردیں۔ انہوں نے تمام تنظیمی ونگز
data/raw/other/44.png,اور شعبہ جات کے ارکان سمیت تمام ذمہ داروں اورکارکنوں
data/raw/other/45.png,سے کہاکہ وہ مذہبی رواداری اور فرقہ وارانہ ہم آہنگی
data/raw/other/46.png,کے فروغ کیلئے گلی گلی کارنرمیٹنگز کا انعقاد کریں۔ انہوں
data/raw/other/47.png,نے ان خیالات کا اظہار ایم کیوایم کے مرکز نائن
data/raw/other/48.png,زیروپر ایم کیو ایم کے مختلف شعبہ جات کے ارکان
data/raw/other/49.png,کے اجلاس سے ٹیلیفون پر خطاب کرتے ہوئے کیا۔ اپنے
data/raw/other/50.png,فکرانگیز خطاب میں الطاف حسین نے کہاکہ اسلام کے معنے
data/raw/other/51.png,’ امن اور سلامتی ‘ ہیں ،اسلام صرف مسلمانوں ہی
data/raw/other/52.png,کے نہیں بلکہ تمام مذاہب کے احترام کا درس دیتاہے۔
data/raw/other/53.png,قرآن مجیدمیں اللہ تعالیٰ کافرمان بالکل واضح ہے کہ’ ترجمہ:
data/raw/other/54.png,میرا دین میرے ساتھ، تمہارادین تمہارے ساتھ ‘۔ قرآن مجیدمیں
data/raw/other/55.png,ایک اور جگہ اللہ تعالیٰ کا فرمان ہے کہ ’
data/raw/other/56.png,ترجمہ: دین میں کوئی جبر نہیں ‘۔ اللہ تعالیٰ اپنے
data/raw/other/57.png,اس فرمان میں صاف لفظوں میں بتایا ہے کہ اسلام
data/raw/other/58.png,جبراور انتہا پسندی کانہیں اعتدال پسندی کا درس دیتاہے ،مذہبی
data/raw/other/59.png,انتہاپسندی اسلام کی تعلیمات کی نفی ہے۔ الطاف حسین نے
data/raw/other/60.png,کہا کہ جہاں انتہاپسندی ہوگی وہاں امن وسلامتی اور اتحاد
data/raw/other/61.png,نہیں بلکہ انتشار ہوگا،نفاق ہوگا، تشدد ہوگا اور قتل وغارتگری
data/raw/other/62.png,ہوگی۔ انہوں نے کہاکہ اسلام توایسامذہب ہے جو نہ صرف
data/raw/other/63.png,مسلمانوں کو امن و سلامتی کاپیغام دیتا ہے بلکہ وہ
data/raw/other/64.png,غیر مسلموں کو بھی امن اور سلامتی کی ضمانت دیتاہے۔
data/raw/other/65.png,انہوں نے کہاکہ انسانی تاریخ میں کئی امراء، سلاطین اور
data/raw/other/66.png,بادشاہوں نے اپنے اقتدارکو جائز قراردینے اور اسے دوام بخشنے
data/raw/other/67.png,کیلئے مذہب کو بطور ڈھال استعمال کیا، ہمارے ملک میں
data/raw/other/68.png,بھی یہی ہوا اورگزشتہ کئی برسوں سے کچھ عناصر مذہب
data/raw/other/69.png,کونہ صرف اپنے مفادات کیلئے استعمال کررہے ہیں بلکہ معصوم
data/raw/other/70.png,اورسادہ لوح مسلمانوں کی برین واشنگ کرکے اورانہیں غلط تربیت
data/raw/other/71.png,دیکراس طرف دھکیل رہے ہیں اوران سے وہ عمل کراتے
data/raw/other/72.png,ہیں جو اسلام کی تعلیمات کی کھلی نفی کے زمرے
data/raw/other/73.png,میں آتاہے۔ الطاف حسین نے سوال کیاکہ اگر اسلام کی
data/raw/other/74.png,غلط تشریح کی جائے اور امن وسلامتی کا درس دینے
data/raw/other/75.png,والے مذہب اسلام کو اگر امن کے بجائے انتشار اور
data/raw/other/76.png,سلامتی کے بجائے تباہی کا ذریعہ بنادیا جائے تو کیا
data/raw/other/77.png,یہ عمل توہین اسلام کے زمرے میں نہیں آتا؟ اسلام
data/raw/other/78.png,کے نام پر تشددکا عمل کرناکیا اسلام کی خدمت ہے؟
data/raw/other/79.png,کیایہ عمل تعلیماتِ رسولﷺ کی توہین کے زمرے میں نہیں
